sps 100000
-0.1685675 -0.6742700 0
-0.1688690 -0.6754761 0
-0.1691691 -0.6766763 0
-0.1694677 -0.6778707 0
-0.1697648 -0.6790593 0
-0.1700605 -0.6802421 0
-0.1703548 -0.6814191 0
-0.1706475 -0.6825902 0
-0.1709389 -0.6837556 0
-0.1712288 -0.6849151 0
-0.1715172 -0.6860688 0
-0.1718042 -0.6872168 0
-0.1720897 -0.6883588 0
-0.1723738 -0.6894951 0
-0.1726564 -0.6906256 0
-0.1729376 -0.6917503 0
-0.1732173 -0.6928691 0
-0.1734955 -0.6939822 0
-0.1737723 -0.6950894 0
-0.1740477 -0.6961908 0
-0.1743216 -0.6972864 0
-0.1745941 -0.6983762 0
-0.1748650 -0.6994602 0
-0.1751346 -0.7005383 0
-0.1754027 -0.7016107 0
-0.1756693 -0.7026772 0
-0.1759345 -0.7037380 0
-0.1761982 -0.7047929 0
-0.1764605 -0.7058420 0
-0.1767213 -0.7068853 0
-0.1769807 -0.7079228 0
-0.1772386 -0.7089545 0
-0.1774951 -0.7099803 0
-0.1777501 -0.7110004 0
-0.1780036 -0.7120146 0
-0.1782558 -0.7130230 0
-0.1785064 -0.7140256 0
-0.1787556 -0.7150224 0
-0.1790034 -0.7160134 0
-0.1792496 -0.7169986 0
-0.1794945 -0.7179779 0
-0.1797379 -0.7189515 0
-0.1799798 -0.7199192 0
-0.1802203 -0.7208812 0
-0.1804593 -0.7218372 0
-0.1806969 -0.7227876 0
-0.1809330 -0.7237321 0
-0.1811677 -0.7246707 0
-0.1814009 -0.7256036 0
-0.1816327 -0.7265306 0
-0.1818630 -0.7274519 0
-0.1820918 -0.7283673 0
-0.1823192 -0.7292769 0
-0.1825452 -0.7301807 0
-0.1827697 -0.7310787 0
-0.1829927 -0.7319708 0
-0.1832143 -0.7328572 0
-0.1834344 -0.7337378 0
-0.1836531 -0.7346125 0
-0.1838704 -0.7354814 0
-0.1840861 -0.7363445 0
-0.1843005 -0.7372019 0
-0.1845133 -0.7380533 0
-0.1847248 -0.7388991 0
-0.1849347 -0.7397389 0
-0.1851432 -0.7405729 0
-0.1853503 -0.7414012 0
-0.1855559 -0.7422236 0
-0.1857601 -0.7430403 0
-0.1859628 -0.7438511 0
-0.1861640 -0.7446560 0
-0.1863638 -0.7454552 0
-0.1865622 -0.7462486 0
-0.1867590 -0.7470362 0
-0.1869545 -0.7478179 0
-0.1871485 -0.7485938 0
-0.1873410 -0.7493639 0
-0.1875321 -0.7501282 0
-0.1877217 -0.7508867 0
-0.1879099 -0.7516394 0
-0.1880966 -0.7523863 0
-0.1882818 -0.7531273 0
-0.1884656 -0.7538626 0
-0.1886480 -0.7545921 0
-0.1888289 -0.7553157 0
-0.1890084 -0.7560334 0
-0.1891864 -0.7567455 0
-0.1893629 -0.7574517 0
-0.1895380 -0.7581520 0
-0.1897116 -0.7588466 0
-0.1898838 -0.7595353 0
-0.1900546 -0.7602183 0
-0.1902238 -0.7608954 0
-0.1903917 -0.7615667 0
-0.1905580 -0.7622322 0
-0.1907230 -0.7628919 0
-0.1908864 -0.7635458 0
-0.1910485 -0.7641938 0
-0.1912090 -0.7648361 0
-0.1913681 -0.7654725 0
-0.1915258 -0.7661031 0
-0.1916820 -0.7667279 0
-0.1918367 -0.7673470 0
-0.1919900 -0.7679601 0
-0.1921419 -0.7685675 0
-0.1922923 -0.7691690 0
-0.1924412 -0.7697648 0
-0.1925887 -0.7703547 0
-0.1927347 -0.7709389 0
-0.1928793 -0.7715172 0
-0.1930224 -0.7720897 0
-0.1931641 -0.7726564 0
-0.1933043 -0.7732173 0
-0.1934431 -0.7737724 0
-0.1935804 -0.7743216 0
-0.1937163 -0.7748651 0
-0.1938507 -0.7754027 0
-0.1939836 -0.7759345 0
-0.1941151 -0.7764605 0
-0.1942452 -0.7769807 0
-0.1943738 -0.7774951 0
-0.1945009 -0.7780036 0
-0.1946266 -0.7785064 0
-0.1947508 -0.7790033 0
-0.1948736 -0.7794945 0
-0.1949950 -0.7799798 0
-0.1951148 -0.7804593 0
-0.1952333 -0.7809330 0
-0.1953502 -0.7814009 0
-0.1954657 -0.7818629 0
-0.1955798 -0.7823192 0
-0.1956924 -0.7827697 0
-0.1958036 -0.7832143 0
-0.1959133 -0.7836531 0
-0.1960215 -0.7840862 0
-0.1961283 -0.7845134 0
-0.1962337 -0.7849347 0
-0.1963376 -0.7853503 0
-0.1964400 -0.7857601 0
-0.1965410 -0.7861640 0
-0.1966405 -0.7865621 0
-0.1967386 -0.7869545 0
-0.1968352 -0.7873410 0
-0.1969304 -0.7877217 0
-0.1970242 -0.7880966 0
-0.1971164 -0.7884657 0
-0.1972072 -0.7888290 0
-0.1972966 -0.7891864 0
-0.1973845 -0.7895380 0
-0.1974710 -0.7898838 0
-0.1975560 -0.7902238 0
-0.1976395 -0.7905580 0
-0.1977216 -0.7908864 0
-0.1978023 -0.7912090 0
-0.1978814 -0.7915258 0
-0.1979592 -0.7918367 0
-0.1980355 -0.7921419 0
-0.1981103 -0.7924412 0
-0.1981837 -0.7927347 0
-0.1982556 -0.7930225 0
-0.1983261 -0.7933044 0
-0.1983951 -0.7935804 0
-0.1984627 -0.7938507 0
-0.1985288 -0.7941151 0
-0.1985935 -0.7943738 0
-0.1986566 -0.7946267 0
-0.1987184 -0.7948737 0
-0.1987787 -0.7951148 0
-0.1988376 -0.7953503 0
-0.1988950 -0.7955799 0
-0.1989509 -0.7958035 0
-0.1990054 -0.7960216 0
-0.1990584 -0.7962337 0
-0.1991100 -0.7964401 0
-0.1991601 -0.7966406 0
-0.1992088 -0.7968352 0
-0.1992560 -0.7970242 0
-0.1993018 -0.7972073 0
-0.1993461 -0.7973845 0
-0.1993890 -0.7975560 0
-0.1994304 -0.7977216 0
-0.1994704 -0.7978814 0
-0.1995089 -0.7980355 0
-0.1995459 -0.7981837 0
