sps 100000
-0.7428616 -0.7428616 0
-0.7459398 -0.7459398 0
-0.7489996 -0.7489996 0
-0.7520400 -0.7520400 0
-0.7550620 -0.7550620 0
-0.7580655 -0.7580655 0
-0.7610505 -0.7610505 0
-0.7640170 -0.7640170 0
-0.7669650 -0.7669649 0
-0.7698945 -0.7698944 0
-0.7728054 -0.7728054 0
-0.7756978 -0.7756978 0
-0.7785718 -0.7785718 0
-0.7814273 -0.7814273 0
-0.7842643 -0.7842643 0
-0.7870828 -0.7870828 0
-0.7898828 -0.7898828 0
-0.7926642 -0.7926642 0
-0.7954272 -0.7954272 0
-0.7981717 -0.7981717 0
-0.8008977 -0.8008977 0
-0.8036051 -0.8036051 0
-0.8062941 -0.8062941 0
-0.8089646 -0.8089646 0
-0.8116166 -0.8116166 0
-0.8142500 -0.8142501 0
-0.8168650 -0.8168650 0
-0.8194615 -0.8194615 0
-0.8220387 -0.8220387 0
-0.8245973 -0.8245973 0
-0.8271375 -0.8271375 0
-0.8296591 -0.8296591 0
-0.8321623 -0.8321623 0
-0.8346469 -0.8346469 0
-0.8371131 -0.8371131 0
-0.8395608 -0.8395608 0
-0.8419900 -0.8419900 0
-0.8444007 -0.8444007 0
-0.8467928 -0.8467928 0
-0.8491665 -0.8491665 0
-0.8515216 -0.8515216 0
-0.8538583 -0.8538583 0
-0.8561765 -0.8561765 0
-0.8584761 -0.8584761 0
-0.8607573 -0.8607573 0
-0.8630200 -0.8630200 0
-0.8652641 -0.8652641 0
-0.8674898 -0.8674898 0
-0.8696970 -0.8696970 0
-0.8718857 -0.8718857 0
-0.8740558 -0.8740558 0
-0.8762074 -0.8762074 0
-0.8783406 -0.8783406 0
-0.8804544 -0.8804544 0
-0.8825498 -0.8825498 0
-0.8846267 -0.8846267 0
-0.8866850 -0.8866850 0
-0.8887249 -0.8887249 0
-0.8907463 -0.8907463 0
-0.8927491 -0.8927491 0
-0.8947334 -0.8947334 0
-0.8966993 -0.8966993 0
-0.8986467 -0.8986467 0
-0.9005755 -0.9005755 0
-0.9024859 -0.9024859 0
-0.9043777 -0.9043777 0
-0.9062511 -0.9062511 0
-0.9081060 -0.9081060 0
-0.9099423 -0.9099423 0
-0.9117601 -0.9117601 0
-0.9135595 -0.9135595 0
-0.9153404 -0.9153404 0
-0.9171027 -0.9171027 0
-0.9188466 -0.9188466 0
-0.9205720 -0.9205720 0
-0.9222788 -0.9222788 0
-0.9239671 -0.9239671 0
-0.9256369 -0.9256369 0
-0.9272874 -0.9272874 0
-0.9289196 -0.9289196 0
-0.9305331 -0.9305331 0
-0.9321282 -0.9321282 0
-0.9337046 -0.9337046 0
-0.9352627 -0.9352627 0
-0.9368023 -0.9368023 0
-0.9383233 -0.9383233 0
-0.9398259 -0.9398259 0
-0.9413099 -0.9413099 0
-0.9427754 -0.9427754 0
-0.9442225 -0.9442225 0
-0.9456510 -0.9456510 0
-0.9470611 -0.9470611 0
-0.9484526 -0.9484526 0
-0.9498256 -0.9498256 0
-0.9511802 -0.9511802 0
-0.9525163 -0.9525163 0
-0.9538338 -0.9538338 0
-0.9551328 -0.9551328 0
-0.9564134 -0.9564134 0
-0.9576754 -0.9576754 0
-0.9589190 -0.9589190 0
-0.9601440 -0.9601440 0
-0.9613506 -0.9613506 0
-0.9625377 -0.9625377 0
-0.9637065 -0.9637065 0
-0.9648567 -0.9648567 0
-0.9659885 -0.9659885 0
-0.9671017 -0.9671017 0
-0.9681964 -0.9681964 0
-0.9692727 -0.9692727 0
-0.9703304 -0.9703304 0
-0.9713696 -0.9713696 0
-0.9723904 -0.9723904 0
-0.9733926 -0.9733926 0
-0.9743763 -0.9743763 0
-0.9753416 -0.9753416 0
-0.9762883 -0.9762883 0
-0.9772165 -0.9772165 0
-0.9781262 -0.9781262 0
-0.9790175 -0.9790175 0
-0.9798902 -0.9798902 0
-0.9807445 -0.9807445 0
-0.9815802 -0.9815802 0
-0.9823974 -0.9823974 0
-0.9831961 -0.9831961 0
-0.9839763 -0.9839763 0
-0.9847381 -0.9847381 0
-0.9854813 -0.9854813 0
-0.9862052 -0.9862052 0
